model,scenario,region,variable,unit,2018,2020,2025,2030,2035,2040,2045,2050
IMO-GHG-4,scenario 64,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1033.178,1109.418,1172.943,1225.437,1309.984,1374.84,1443.336
IMO-GHG-4,scenario 65,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1022.049,1063.883,1065.235,1066.627,1069.509,1084.05,1091.321
IMO-GHG-4,scenario 66,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1033.178,1114.182,1182.495,1238.625,1327.517,1395.827,1467.515
IMO-GHG-4,scenario 67,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1022.049,1069.209,1075.788,1080.626,1088.108,1109.971,1123.988
IMO-GHG-4,scenario 68,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1022.489,1066.985,1071.098,1075.63,1082.826,1104.142,1118.021
IMO-GHG-4,scenario 69,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1035.287,1108.889,1151.052,1149.895,1165.885,1178.381,1194.62
IMO-GHG-4,scenario 70,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1035.287,1124.611,1181.298,1215.263,1263.153,1302.053,1331.066
IMO-GHG-4,scenario 71,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1035.287,1126.273,1182.956,1229.256,1289.335,1355.165,1408.132
IMO-GHG-4,scenario 72,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1066.817,1217.739,1371.591,1544.823,1801.666,2025.308,2275.588
IMO-GHG-4,scenario 73,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1035.287,1127.199,1184.322,1233.487,1295.951,1368.145,1428.082
IMO-GHG-4,scenario 74,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1066.817,1218.093,1371.93,1547.793,1807.077,2037.527,2295.289
IMO-GHG-4,scenario 75,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1035.287,1131.753,1192.08,1249.025,1320.862,1401.987,1472.31
IMO-GHG-4,scenario 76,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1066.817,1222.007,1379.114,1563.979,1834.793,2076.521,2347.278
IMO-GHG-4,scenario 77,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1035.249,1136.142,1200.142,1264.861,1347.66,1434.901,1512.296
IMO-GHG-4,scenario 78,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,964.17,987.412,986.984,998.877,1010.989,1032.974,1061.456
IMO-GHG-4,scenario 79,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1016.104,1066.934,1094.944,1134.547,1183.406,1235.227,1285.644
IMO-GHG-4,scenario 80,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,964.236,998.843,1006.91,1023.694,1040.334,1075.2,1112.786
IMO-GHG-4,scenario 81,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1017.076,1078.313,1114.598,1160.063,1215.601,1281.828,1344.03
IMO-GHG-4,scenario 82,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,964.306,1000.442,1009.614,1031.687,1053.069,1094.872,1138.494
IMO-GHG-4,scenario 83,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1017.655,1080.404,1117.862,1167.816,1227.939,1300.759,1369.192
